firstName,lastName,email,country,subscription,claimFree
sjdaj,dsfsd,sdf@example.com,,,TRUE
nnoihhf,fsdfs,sdfds@example.com,Switzerland,6-Month Subscription Save $7.94 ($52 USD/6 Months),
dsfkdf,jfrpkm,jkfne@example.com,Spain,1-Year Subscription Save $20.88 ($99 USD/Year),TRUE
lsndl,dejd,dsmk@example.com,,1-Month Subscription ($9.99 USD/Month),
mdslvkd,fmklre,ke@example.com,Vietnam,6-Month Subscription Save $7.94 ($52 USD/6 Months),
fkepwkf,fksf,fwkm@example.com,,,TRUE
esfopw -,fpkd - kfs,fmklse@example.com,Thailand,,TRUE
sofwekw,fmklwl,jklkioh@example.com,Taiwan,1-Year Subscription Save $20.88 ($99 USD/Year),TRUE
lewfehuwi,ejwo,ewkfnl@example.com,Russia,,TRUE
dk-d-d,deeriwo,djejw@example.com,,6-Month Subscription Save $7.94 ($52 USD/6 Months),
